session_id,animal_id,bin_s,window_s,n_neurons,n_windows,k_real,k_real_ci_low,k_real_ci_high,k_null_trial_perm,k_null_trial_perm_ci_low,k_null_trial_perm_ci_high,k_null_bin_shuffle,k_null_bin_shuffle_ci_low,k_null_bin_shuffle_ci_high,delta_trial_perm,delta_bin_shuffle,trial_perm_pass,bin_shuffle_pass,both_pass
steinmetz_session_9,steinmetz,0.3,4.8,180,15,0.3999346373039656,0.3963320732398486,0.48546354851600215,0.39186257658934937,0.3909811765296727,0.39274397664902605,0.39825393504129497,0.3971095112948619,0.39939835878772806,0.008072060714616247,0.0016807022626706414,True,True,True
steinmetz_session_9,steinmetz,0.3,6.0,180,12,0.3979689781974153,0.3960961682273827,0.3994601431263324,0.3892220564344602,0.3875467681868321,0.39089734468208825,0.39317707952021547,0.39117750770614407,0.39517665133428687,0.008746921762955107,0.004791898677199813,True,True,True
steinmetz_session_9,steinmetz,0.3,4.8,240,15,0.39681975852301477,0.3936475249029662,0.48782728516590834,0.38370399695573965,0.3825885292591649,0.38481946465231437,0.40039508158717013,0.40008961126981235,0.4007005519045279,0.01311576156727512,-0.003575323064155367,True,False,False
steinmetz_session_9,steinmetz,0.3,6.0,240,12,0.39461978493064603,0.3930352099543004,0.39637787552220927,0.38115686120821546,0.38091815141799157,0.3813955709984393,0.4005095887369977,0.39821830470012093,0.40280087277387455,0.013462923722430575,-0.005889803806351679,True,False,False
steinmetz_session_38,steinmetz,0.3,4.8,180,15,0.40851764757288345,0.4047966255259136,0.47496672360627157,0.39302661215406476,0.3905480031894197,0.39550522111870984,0.4123165082235287,0.3959265768957443,0.4287064395513131,0.015491035418818688,-0.003798860650645275,True,False,False
steinmetz_session_38,steinmetz,0.3,6.0,180,12,0.40176364821515564,0.39930335481223206,0.40556875665270675,0.39016891437377155,0.38591302486047147,0.39442480388707163,0.4082078205940328,0.3955039958948662,0.4209116452931994,0.011594733841384097,-0.006444172378877178,True,False,False
steinmetz_session_38,steinmetz,0.3,4.8,240,15,0.4030625894000949,0.3989738015619889,0.4769302929435344,0.38661502052188446,0.38605256544861405,0.3871774755951548,0.40543287177518916,0.4008453543541008,0.4100203891962776,0.016447568878210417,-0.0023702823750942903,True,False,False
steinmetz_session_38,steinmetz,0.3,6.0,240,12,0.3976588304623855,0.39536425395496977,0.4001955741258181,0.3815388575928971,0.3808679777821099,0.38220973740368425,0.399351616435724,0.3965665394670317,0.40213669340441627,0.016119972869488408,-0.0016927859733384953,True,False,False
steinmetz_session_1,steinmetz,0.3,4.8,180,15,0.41343972473049684,0.4086456187935835,0.48074886224923374,0.39279911699387415,0.3891996986089256,0.39639853537882275,0.40031052992169125,0.3986620099010423,0.4019590499423403,0.020640607736622685,0.013129194808805589,True,True,True
steinmetz_session_1,steinmetz,0.3,6.0,180,12,0.4114512778304961,0.4090858822645502,0.41231394708751723,0.39370588463812517,0.38949305337585394,0.39791871590039646,0.40109584176618757,0.3999400157612797,0.40225166777109544,0.01774539319237095,0.010355436064308554,True,True,True
steinmetz_session_1,steinmetz,0.3,4.8,240,15,0.40947046283514854,0.40470376431673183,0.48181372854137827,0.3862637713531139,0.3857534794555788,0.386774063250649,0.3945011677678575,0.39197914188340716,0.3970231936523078,0.023206691482034636,0.014969295067291055,True,True,True
steinmetz_session_1,steinmetz,0.3,6.0,240,12,0.40683627456260385,0.40415034633448965,0.40759557739050245,0.38663003631436416,0.38502429916935815,0.38823577345937016,0.393821773407223,0.3937521622098941,0.393891384604552,0.020206238248239694,0.013014501155380831,True,True,True
steinmetz_session_27,steinmetz,0.3,4.8,180,15,0.39529753991253436,0.3909171469072237,0.481388074831797,0.39010501898510885,0.3900056476815014,0.39020439028871623,0.3989325933432978,0.392070596338987,0.4057945903476086,0.0051925209274255035,-0.003635053430763424,True,False,False
steinmetz_session_27,steinmetz,0.3,6.0,180,12,0.3955271066462887,0.39268278764746745,0.3981087686237901,0.38769739212137305,0.38630920262116525,0.38908558162158086,0.38957328544409664,0.3890941697958106,0.39005240109238276,0.007829714524915654,0.005953821202192067,True,True,True
