layer,kappa_t,acc_mean,acc_std,ece_mean,ece_std,nll_mean,nll_std,seeds,control,probe_type
6,0.1,0.66,0.021266170318136726,0.1426010495300094,0.020826670512372008,1.2567392190297444,0.13512467324600624,3,none,linear
6,0.2,0.6421666666666668,0.021646785750622025,0.32371286609272165,0.02096491300601634,7.595625400543213,0.8486863921678796,3,none,linear
6,0.27,0.6208333333333332,0.02277242484526698,0.364407265295585,0.023593794539657646,24.222588857014973,3.800503382862714,3,none,linear
6,0.35,0.624,0.010851267207105315,0.37247015816966694,0.011204092148690984,79.6009038289388,0.13029408978688214,3,none,linear
6,0.5,0.602,0.011357816691600558,0.39718762854735057,0.01089806015455632,697.806884765625,88.26495462069076,3,none,linear
7,0.1,0.6675,0.00998749217771913,0.18827446483572327,0.013550644643058728,1.472118616104126,0.08354339443449077,3,none,linear
7,0.2,0.6533333333333333,0.018454899981667064,0.32334811738133434,0.01685666511232793,10.920054117838541,1.2592456481112009,3,none,linear
7,0.27,0.6288333333333332,0.024095296913159897,0.3634752059678237,0.025442763376786078,40.208754221598305,5.6413510408459775,3,none,linear
7,0.35,0.6374999999999998,0.011532562594670807,0.3607862579623857,0.01135371495189774,139.6782480875651,18.373837162200196,3,none,linear
7,0.5,0.5831666666666667,0.0431112900912665,0.4165226059556007,0.04334204572834368,1647.6625162760417,345.0756203433864,3,none,linear
8,0.1,0.6953333333333335,0.01717798979314324,0.20562474666535854,0.021366649521234828,1.7710440556208293,0.27768166812027556,3,none,linear
8,0.2,0.6756666666666667,0.02135610763536588,0.3103139183670282,0.021109919633658707,17.667349815368652,3.323137970601713,3,none,linear
8,0.27,0.6678333333333333,0.015429949233012169,0.32759125095605857,0.015216106576444111,70.52138900756836,9.591264003508845,3,none,linear
8,0.35,0.6318333333333332,0.010866615541802006,0.3675039661427339,0.010828122449337896,314.2161153157552,21.522529655389363,3,none,linear
8,0.5,0.5981666666666666,0.010396313449167117,0.40183492545286814,0.010471531229000151,3967.7532552083335,1063.4679740207926,3,none,linear
9,0.1,0.7395,0.006614378277661461,0.1717088497877121,0.0027149051210125764,1.6314282417297363,0.13073503245089352,3,none,linear
9,0.2,0.7123333333333334,0.008892881047969427,0.27783964567383124,0.007959865061731937,19.060029983520508,1.5882686212635073,3,none,linear
9,0.27,0.6776666666666668,0.010610529361598032,0.3187230540414651,0.010460897326838709,91.44657643636067,7.479625742698715,3,none,linear
9,0.35,0.6521666666666667,0.005392896562454471,0.34734185196955997,0.005209278293946712,429.3086344401042,51.85459709850435,3,none,linear
9,0.5,0.5701666666666666,0.006211548384528095,0.42977869913975403,0.0061998893315353635,7387.700032552083,820.881855865356,3,none,linear
