kappa_t,acc_mean,acc_std,ece_mean,ece_std,seeds,control
0.1,0.07166666666666667,0.008036375634160795,0.051630366391191874,0.007782027964921496,3,shuffle
0.2,0.07200000000000001,0.008321658488546619,0.0512971647977829,0.00806684722959186,3,shuffle
0.27,0.07200000000000001,0.008321658488546619,0.05129711921016376,0.008065492152786513,3,shuffle
0.35,0.07200000000000001,0.008321658488546619,0.05129711542775234,0.008064379769053132,3,shuffle
0.5,0.07183333333333335,0.00854887906882144,0.05146445611367623,0.00830127807291203,3,shuffle
