kappa_t,acc_mean,acc_std,ece_mean,ece_std,seeds,control
0.1,0.9131666666666667,0.0020816659994661348,0.7658467187670369,0.0021015873889955166,3,whiten
0.2,0.9131666666666667,0.0020816659994661348,0.765846448947986,0.002101707520538699,3,whiten
0.27,0.9133333333333334,0.0023629078131263376,0.766012914672494,0.0023858007849967247,3,whiten
0.35,0.9133333333333334,0.0023629078131263376,0.7660128239803017,0.00238608811807878,3,whiten
0.5,0.9133333333333334,0.0023629078131263376,0.7660125772642594,0.002386172273174298,3,whiten
