layer,kappa_t,acc_mean,acc_std,ece_mean,ece_std,nll_mean,nll_std,seeds,control,probe_type
6,0.1,0.0018333333333333335,0.0014433756729740645,0.0011878974769885342,0.00034929577520029394,6.909530480702718,0.0006543876149262447,3,none,linear
6,0.2,0.0018333333333333335,0.0014433756729740645,0.0011920832674950361,0.0003388129423233216,6.9099775950113935,0.0006514884124058185,3,none,linear
6,0.27,0.001666666666666667,0.0016072751268321592,0.0013615891486406326,0.00030901931754755775,6.910280704498291,0.0006488681539275231,3,none,linear
6,0.35,0.0015000000000000002,0.0017320508075688774,0.0015314178882787626,3.5350123161258805e-05,6.910617828369141,0.0006469745470077849,3,none,linear
6,0.5,0.0015000000000000002,0.0017320508075688774,0.0015371269732713702,2.1175027787954232e-05,6.911226749420166,0.0006416819801952781,3,none,linear
7,0.1,0.0016666666666666668,0.0007637626158259734,0.0006875001126900315,0.0002652605675077698,6.908153057098389,0.0006409734402661211,3,none,linear
7,0.2,0.0016666666666666668,0.0007637626158259734,0.0006917813249553243,0.0002694349529929834,6.90859858194987,0.0006376463482607494,3,none,linear
7,0.27,0.0016666666666666668,0.0007637626158259734,0.0006946787082900604,0.00027245562044676027,6.908900260925293,0.0006352679034631902,3,none,linear
7,0.35,0.0016666666666666668,0.0007637626158259734,0.0006979005411267281,0.00027598753586256683,6.9092356363932295,0.0006333719277401141,3,none,linear
7,0.5,0.0015000000000000002,0.0008660254037844387,0.00087038087255011,0.0002760904216265085,6.909843285878499,0.0006283867706212208,3,none,linear
8,0.1,0.001666666666666667,0.00202072594216369,0.0017180713970835011,0.00028752901225231246,6.902570406595866,0.0006287929824408127,3,none,linear
8,0.2,0.001666666666666667,0.00202072594216369,0.001722667823235194,0.0002766873964948821,6.903015931447347,0.0006254053967367727,3,none,linear
8,0.27,0.001666666666666667,0.00202072594216369,0.0017257697482903798,0.0002693652911312096,6.9033182462056475,0.0006242911771593971,3,none,linear
8,0.35,0.001666666666666667,0.00202072594216369,0.0017292086568971474,0.00026123788826257097,6.9036539395650225,0.0006215934653844616,3,none,linear
8,0.5,0.0015000000000000002,0.0017320508075688774,0.0015687248855829241,4.2303072985672835e-05,6.904260317484538,0.0006169278415025127,3,none,linear
9,0.1,0.001,0.0008660254037844386,0.0011027431357651949,0.0009431241419066374,6.8963751792907715,0.000595908530491639,3,none,linear
9,0.2,0.001,0.0008660254037844386,0.0011131489581118028,0.000944655925457293,6.8968305587768555,0.0005924357724710839,3,none,linear
9,0.27,0.001,0.0008660254037844386,0.0011201737690716982,0.0009456863763699725,6.897140343983968,0.0005908915450952889,3,none,linear
9,0.35,0.001,0.0008660254037844386,0.001127965058510502,0.0009468278353264623,6.89748493830363,0.0005882789577543273,3,none,linear
9,0.5,0.001,0.0008660254037844386,0.001141964699452122,0.0009488701993214351,6.898106098175049,0.0005845111430389746,3,none,linear
