layer,kappa_t,acc_mean,acc_std,ece_mean,ece_std,nll_mean,nll_std,seeds
6,0.1,0.5091743119266054,0.0,0.04569098872875954,0.0024031046528652216,0.6965167125066122,0.000421830136758039,3
6,0.2,0.5091743119266054,0.0,0.0457954756710508,0.0024452863009732186,0.6965364019076029,0.0004286049043105583,3
6,0.27,0.5091743119266054,0.0,0.045865372051157406,0.0024734437724807943,0.6965494950612386,0.00043304300139140634,3
6,0.35,0.5091743119266054,0.0,0.04594202362433856,0.002503862146060749,0.6965637803077698,0.00043772655671956687,3
6,0.5,0.5091743119266054,0.0,0.04607736590440855,0.002555935353196661,0.6965892910957336,0.0004457764676693242,3
8,0.1,0.5091743119266054,0.0,0.048108950485147885,0.002186504165969888,0.6970628301302592,0.00041840101144520594,3
8,0.2,0.5091743119266054,0.0,0.048193112243570736,0.0022172777933700005,0.6970797379811605,0.00042334549773569824,3
8,0.27,0.5091743119266054,0.0,0.048248047857838726,0.0022363236216254865,0.6970908045768738,0.00042627572197210113,3
8,0.35,0.5091743119266054,0.0,0.04830707632438128,0.002255559235618531,0.6971025069554647,0.00042944144451918906,3
8,0.5,0.5091743119266054,0.0,0.048408265142994976,0.002284586029422103,0.6971227526664734,0.0004335879814135758,3
10,0.1,0.5091743119266054,0.0,0.04841341101066058,0.002274527959347824,0.696996827920278,0.00043016700352375883,3
10,0.2,0.5091743119266054,0.0,0.04850085102454608,0.002305556312640316,0.6970142920811971,0.0004347465722225367,3
10,0.27,0.5091743119266054,0.0,0.048558031747100605,0.002325175677742473,0.6970256567001343,0.00043756165955400304,3
10,0.35,0.5091743119266054,0.0,0.04861970268622821,0.0023455506828685734,0.6970379948616028,0.00044045942279511774,3
10,0.5,0.5091743119266054,0.0,0.04872554066713438,0.002378043618297536,0.6970591147740682,0.00044473995347660766,3
12,0.1,0.5091743119266054,0.0,0.04919919891094948,0.0019080664887569055,0.6921939055124918,0.00042123999287292945,3
12,0.2,0.5091743119266054,0.0,0.04927300932939634,0.001931476647548975,0.6922111312548319,0.0004144454166783957,3
12,0.27,0.5091743119266054,0.0,0.049321130145945004,0.001946166785482966,0.6922220786412557,0.00040931382897200277,3
12,0.35,0.5091743119266054,0.0,0.04937302592332945,0.001962360823558692,0.6922344168027242,0.00040227613393951006,3
12,0.5,0.5091743119266054,0.0,0.04946070435579405,0.0019845665880367856,0.6922545433044434,0.0003902792391705197,3
