layer,kappa_t,acc_mean,acc_std,ece_mean,ece_std,nll_mean,nll_std,seeds
6,0.1,0.6284403669724771,0.04186957858607498,0.1293290691957197,0.012826089452336134,0.6689634323120117,0.0014771964403749475,3
6,0.2,0.6284403669724771,0.040771534024383486,0.1285674789584376,0.01218998405941309,0.6689877510070801,0.0014679536648992844,3
6,0.27,0.6284403669724771,0.040771534024383486,0.12856985792654374,0.012204802472918254,0.6690031091372172,0.0014625529793274522,3
6,0.35,0.6276758409785933,0.042062827839385086,0.12933974040939902,0.012749279907763892,0.6690241893132528,0.0014532569563644865,3
6,0.5,0.6280581039755352,0.042265566489862356,0.12937217889302366,0.01185812706231874,0.669055720170339,0.0014434554196984264,3
8,0.1,0.7232415902140673,0.00860728612323983,0.18864835466084495,0.011181360603564599,0.6500505208969116,0.002289555103997277,3
8,0.2,0.7224770642201834,0.009102355427974464,0.18789273794364492,0.011795389380957224,0.6500822901725769,0.0022773988585733404,3
8,0.27,0.7228593272171254,0.009340054833998914,0.1882819387754169,0.011985563145033793,0.6501034100850424,0.002269213479834618,3
8,0.35,0.7228593272171254,0.009340054833998914,0.1882876115609017,0.011973901699510011,0.6501241326332092,0.0022623004821847948,3
8,0.5,0.7224770642201834,0.010939669741020008,0.18792040566329926,0.013491019989087001,0.6501702666282654,0.002243958419624636,3
10,0.1,0.7974006116207951,0.002886022337641747,0.24176838914279908,0.003169813788214396,0.6142928600311279,0.0033241656981786746,3
10,0.2,0.7974006116207951,0.002886022337641747,0.2417970279670272,0.0031978412458890677,0.614330013593038,0.0033104698983560275,3
10,0.27,0.7970183486238532,0.0034403669724770714,0.24143419362353988,0.003865997708909127,0.6143552462259928,0.0033016998984516507,3
10,0.35,0.7970183486238532,0.0034403669724770714,0.2414579833957398,0.0038887205223345016,0.6143864790598551,0.0032885540846492364,3
10,0.5,0.7974006116207951,0.004027390578307611,0.2418799356810908,0.004203799952305738,0.6144395271937052,0.0032684450485448327,3
12,0.1,0.8023700305810397,0.0033104946627845154,0.23536722423560028,0.0026559868312389058,0.5967717369397482,0.002715217613723153,3
12,0.2,0.8023700305810397,0.0033104946627845154,0.23540440447833558,0.002680254269846,0.5967921018600464,0.0026948087736921554,3
12,0.27,0.8023700305810397,0.0033104946627845154,0.23542583815821816,0.0027049074067219403,0.5968011021614075,0.0026830965421470393,3
12,0.35,0.8023700305810397,0.0033104946627845154,0.2354551361423749,0.002723686803937303,0.596817155679067,0.002670561245064399,3
12,0.5,0.8035168195718655,0.003503498237733838,0.23665390797073324,0.0034283469983085128,0.5968470374743143,0.0026494299482641586,3
